👎 :-1:
♻️ :recycle:
🍎 :red_apple:
🚗 :red_car:
® :registered_sign:
®️ :registered:
☺️ :relaxed:
😌 :relieved_face:
😌 :relieved:
🔂 :repeat_one:
🔁 :repeat:
🚻 :restroom:
💞 :revolving_hearts:
⏪ :rewind:
🎀 :ribbon:
🍙 :rice_ball:
🍘 :rice_cracker:
🎑 :rice_scene:
🍚 :rice:
🔎 :right_pointing_magnifying_glass:
↪ :rightwards_arrow_with_hook:
💍 :ring:
🍠 :roasted_sweet_potato:
🚀 :rocket:
🎢 :roller_coaster:
🐓 :rooster:
🌹 :rose:
🚨 :rotating_light:
📍 :round_pushpin:
🚣 :rowboat:
🇷🇺 :ru:
🏉 :rugby_football:
🏃 :runner:
🎽 :running_shirt_with_sash:
🏃 :running:
🇷🇺 :russia_flag:
🈂️ :sa:
♐ :sagittarius:
⛵ :sailboat:
🍶 :sake_bottle_and_cup:
🍶 :sake:
👡 :sandal:
🎅 :santa:
📡 :satellite_antenna:
📡 :satellite:
😆 :satisfied:
🎷 :saxophone:
🎒 :school_satchel:
🏫 :school:
✂️ :scissors:
♏ :scorpius:
🙀 :scream_cat:
😱 :scream:
📜 :scroll:
💺 :seat:
㊙️ :secret:
🙈 :see_no_evil_monkey:
🙈 :see_no_evil:
🌱 :seedling:
7️⃣ :seven:
🍧 :shaved_ice:
🐑 :sheep:
🐚 :shell:
🚢 :ship:
👕 :shirt:
💩 :shit:
👞 :shoe:
🌠 :shooting_star:
🍰 :shortcake:
🚿 :shower:
📶 :signal_strength:
🗾 :silhouette_of_japan:
🔯 :six_pointed_star_with_middle_dot:
🔯 :six_pointed_star:
6️⃣ :six:
🎿 :ski_and_ski_boot:
🎿 :ski:
💀 :skull:
😴 :sleeping_face:
💤 :sleeping_symbol:
😴 :sleeping:
😪 :sleepy_face:
😪 :sleepy:
🍕 :slice_of_pizza:
🎰 :slot_machine:
🔹 :small_blue_diamond:
🔸 :small_orange_diamond:
😸 :smile_cat:
😄 :smile:
😺 :smiley_cat:
😃 :smiley:
😻 :smiling_cat_face_with_heart_shaped_eyes:
😺 :smiling_cat_face_with_open_mouth:
😇 :smiling_face_with_halo:
😍 :smiling_face_with_heart_shaped_eyes:
😈 :smiling_face_with_horns:
😅 :smiling_face_with_open_mouth_and_cold_sweat:
😄 :smiling_face_with_open_mouth_and_smiling_eyes:
😆 :smiling_face_with_open_mouth_and_tightly_closed_eyes:
😃 :smiling_face_with_open_mouth:
😊 :smiling_face_with_smiling_eyes:
😎 :smiling_face_with_sunglasses:
😈 :smiling_imp:
😼 :smirk_cat:
😏 :smirk:
😏 :smirking_face:
🚬 :smoking_symbol:
🚬 :smoking:
🐌 :snail:
🐍 :snake:
🏂 :snowboarder:
❄ :snowflake:
❄️ :snowflake:
⛄ :snowman_without_snow:
⛄ :snowman:
😭 :sob:
⚽ :soccer_ball:
⚽ :soccer:
🍦 :soft_ice_cream:
🔜 :soon_with_rightwards_arrow_above:
🔜 :soon:
🆘 :sos:
🔉 :sound:
↘ :south_east_arrow:
🇰🇷 :south_korea_flag:
↙ :south_west_arrow:
👾 :space_invader:
♠️ :spades:
🍝 :spaghetti:
